show_tags,note_id,sub_comment_cursor,like_count,user_info,content,liked,sub_comment_has_more,ip_location,id,sub_comment_count,sub_comments,status,create_time,at_users
"['is_author', 'user_top']",67db73f0000000000b015a34,,0,22,不用关注我这个号[笑哭R]找实习春招看这个@小樊Jasper,False,False,广东,67dc3abb000000001e023959,0,[],4,1742486203000,"[{'user_id': '624c0fa0000000001000ffa2', 'nickname': '小樊Jasper', 'xsec_token': 'AB_YbKk_ZoHnQKYd_lduticTfgXM-Il1_x7SkrFwyoZTA='}]"
[],67db73f0000000000b015a34,67dbdd32000000001801e21e,559,星彻-产品总监,"说几个明显的问题：
1、	创业经历不要写，很多面试官比较保守，想要的是羊，不是狼，你当过狼，谁知道你现在想踏踏实实当羊？而且有那么多一定是羊的，效率出发，没必要考虑你。
2、	排版缩进太多层级了，不符合一个优秀产品经理的审美，读着很累。
3、	具体动作不用说，直接说收益，或者你优秀的地方，所以要表现的你优秀，而不是你做了什么。
4、	说的事情越小儿科，越显得你不行，比如增加了个分类tab？这跟扫了个地差不多吧？
5、	数据一定写增幅，不然谁知道你做的牛不牛？增加商城GMV 3w？这不是QQ音乐一分钟的收入吗？增加3w有什么可写的？还是周增？

扫了一眼，看了前几行，就这些问题，其他的不赘述了。",False,True,江苏,67dbd20a000000000f0328b1,60,"[{'note_id': '67db73f0000000000b015a34', 'status': 0, 'content': '牛！学到了大佬  感谢感谢', 'at_users': [], 'show_tags': ['is_author'], 'ip_location': '广东', 'target_comment': {'id': '67dbd20a000000000f0328b1', 'user_info': {'user_id': '641064a700000000290136dd', 'nickname': '星彻-产品总监', 'image': 'https://sns-avatar-qc.xhscdn.com/avatar/675d3b98bcf9fe1bd9b3df39.jpg?imageView2/2/w/120/format/jpg', 'xsec_token': 'AByomVwxe9qgGibz0KZgARmz-vDfXiS9MR63fjFg5xOuk='}}, 'id': '67dbdd32000000001801e21e', 'liked': False, 'like_count': '41', 'user_info': {'user_id': '62fa478d000000000f004e25', 'nickname': '22', 'image': 'https://sns-avatar-qc.xhscdn.com/avatar/635111647006cabf1371a65c.jpg?imageView2/2/w/120/format/jpg', 'xsec_token': 'ABHa22qbGHzCnfgtaPpGFBc6hmBU5TCAhiUpFG8lPMA3w='}, 'create_time': 1742462258000}]",0,1742459403000,[]
[],67db73f0000000000b015a34,67db7901000000001801b8ae,1031,小紫薯,三段大厂产品+985找不到工作？[汗颜R],False,True,广东,67db77ec000000001702827b,90,"[{'status': 0, 'at_users': [], 'liked': False, 'like_count': '601', 'user_info': {'image': 'https://sns-avatar-qc.xhscdn.com/avatar/635111647006cabf1371a65c.jpg?imageView2/2/w/120/format/jpg', 'xsec_token': 'ABHa22qbGHzCnfgtaPpGFBc6hmBU5TCAhiUpFG8lPMA3w=', 'user_id': '62fa478d000000000f004e25', 'nickname': '22'}, 'create_time': 1742436609000, 'id': '67db7901000000001801b8ae', 'note_id': '67db73f0000000000b015a34', 'ip_location': '广东', 'target_comment': {'user_info': {'user_id': '6093e6c200000000010067ff', 'nickname': '小紫薯', 'image': 'https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30rmmg0dq2e005o4jsr108pvvafa0dag?imageView2/2/w/120/format/jpg', 'xsec_token': 'ABe_Vjoivs9yB_DACsq5t8TZ5XfDXBXioby8L81H3uMqU='}, 'id': '67db77ec000000001702827b'}, 'content': '我对市场也是这个表情[汗颜R]', 'show_tags': ['is_author']}]",0,1742436332000,[]
[],67db73f0000000000b015a34,,0,燕小呆的大狗子💭,全是字，看着有点累,False,False,江苏,67dc42c7000000001200b8d2,0,[],0,1742488263000,[]
[],67db73f0000000000b015a34,,1,飞翔的大福,不想看这种简历 字太多了[偷笑R],False,False,上海,67dc41e3000000001e00eed5,0,[],0,1742488035000,[]
[],67db73f0000000000b015a34,,0,Oooo,可能是硕士太多了吧产品，太卷了,False,False,江苏,67dc4026000000001f01baa6,0,[],0,1742487590000,[]
[],67db73f0000000000b015a34,,0,momo,有点乱,False,False,上海,67dc3f7a000000002001771e,0,[],0,1742487419000,[]
[],67db73f0000000000b015a34,,0,雨打上元灯,这么优秀的履历一般公司接不住，如果大厂都没去成还真就最适合创业,False,False,广东,67dc3d670000000012021c17,0,[],0,1742486888000,[]
[],67db73f0000000000b015a34,,1,momo,你这些效果是怎么得来的？谁统计的？,False,False,湖北,67dc38ec000000001f0280e2,0,[],0,1742485741000,[]
[],67db73f0000000000b015a34,67dba8eb000000001500020e,187,舒云,一看到15%，20%，50%……这种整数就假得不行，有时做十多个层级的漏斗转化，每一月每一个优化动作数据都是精确到小数点，又不是半年和年度，什么烂漏斗啊能几十的优化,False,True,重庆,67dba863000000001802dfdb,38,"[{'id': '67dba8eb000000001500020e', 'like_count': '99', 'show_tags': [], 'create_time': 1742448876000, 'user_info': {'user_id': '5d25a75700000000120317e0', 'nickname': 'U.', 'image': 'https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31bl0trb1ge005n95ktbkm5v0uj69j30?imageView2/2/w/120/format/jpg', 'xsec_token': 'ABrL6Cj6s_aTRlwCzOu0Fh2C3ZfpPqo9rZIu-u7K6xUx4='}, 'ip_location': '广东', 'target_comment': {'id': '67dba863000000001802dfdb', 'user_info': {'user_id': '612a52cd0000000001007a2f', 'nickname': '舒云', 'image': 'https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31ee68lo2gk005o9aab6g8uhfm14uoco?imageView2/2/w/120/format/jpg', 'xsec_token': 'ABNEG9wehfTdIMDA_qkKAxm_Z6b8Nkq0FUtZXlOljWQlM='}}, 'note_id': '67db73f0000000000b015a34', 'status': 0, 'content': '我也觉得百分比太多显得太假了，或者说华丽的有点过分', 'at_users': [], 'liked': False}]",0,1742448739000,[]
